,section,title,date,description
0,nfl,The biggest remaining roster hole for every NFL team: Where all 32 could still upgrade,"Thu, 8 May 2025 10:04:26 EST","NFL teams have added to their rosters through free agency, trades and the draft, but they all have at least one position that still needs a boost."
1,nfl,Power Rankings: Re-shuffling all 32 teams after the draft,"Thu, 8 May 2025 10:04:26 EST",Which franchises improved with their draft picks and offseason moves?
2,nfl,Cowboys reach trade for Steelers WR Pickens,"Thu, 8 May 2025 10:24:47 EST","The Cowboys and Steelers have agreed to a trade that will send George Pickens to Dallas, where he will team up with CeeDee Lamb at wide receiver."
3,nfl,"Goedert to remain with Eagles in '25, source says","Thu, 8 May 2025 10:24:47 EST","The Eagles and tight end Dallas Goedert have agreed to a reworked contract that will keep him in Philadelphia in 2025, a league source confirmed to ESPN."
4,nfl,Brady to Sanders: Use draft slide 'as motivation',"Thu, 8 May 2025 10:24:47 EST","Tom Brady, appearing on the ""IMPAULSIVE"" podcast, said he texted Shedeur Sanders and told him that he needs to use his draft slide as motivation."
5,nfl,Taylor backs Fields: 'I'm here to support' Jets QB,"Thu, 8 May 2025 10:24:47 EST",Tyrod Taylor threw his full support behind Justin Fields as the Jets' starting QB.
6,nfl,Jags release Davis after disappointing '24 season,"Thu, 8 May 2025 10:24:47 EST","The Jaguars released Gabe Davis nearly 14 months after signing the WR to a three-year, $39 million deal."
7,nfl,Source: Fins' Hill has screws taken out of wrist,"Thu, 8 May 2025 10:24:47 EST","Dolphins wide receiver Tyreek Hill underwent an operation on his wrist, according to a post to his Snapchat account."
8,nfl,Source: Texans re-signing veteran DT Fatukasi,"Thu, 8 May 2025 10:24:47 EST","The Texans have agreed to re-sign veteran defensive tackle Folorunso Fatukasi, a source confirmed to ESPN."
9,nfl,Thibodeaux excited for Carter's impact on Giants,"Thu, 8 May 2025 10:24:47 EST",Giants linebacker Kayvon Thibodeaux said he is excited about the possibilities that No. 3 pick Abdul Carter's addition will open up for the team's defense.
10,nfl,🏈 Our grades for the George Pickens trade,"Thu, 8 May 2025 10:24:47 EST",Pickens is headed to Dallas for draft picks. Did the Cowboys solve their WR2 problem -- and did the Steelers create one? Let's size up the move.
11,nfl,What should we expect from Shedeur Sanders in Cleveland?,"Thu, 8 May 2025 12:08:53 EST","Fifth-round draft picks don't typically carry the weight of expectations. Ahead of his first NFL practice, what's realistic for Sanders in a Browns uniform?"
12,nfl,NFL experts debate the draft: Which midround picks could be fantasy sleepers?,"Thu, 8 May 2025 09:07:20 EST","We asked more than a dozen experts to weigh in on the draft with their top picks, Rookie of the Year predictions and fantasy sleepers."
13,nfl,"Draft nuggets for every team's rookie class: Exec reaction, draft room maneuvers, remaining needs","Thu, 8 May 2025 09:07:21 EST","With the draft dust having settled, we canvassed the league on the biggest decisions and most surprising picks."
14,nfl,"What Pickens trade means for Cowboys, Steelers -- and Aaron Rodgers","Wed, 7 May 2025 22:12:01 EST","The Steelers moved on from Pickens, while the Cowboys got a WR2 to pair with CeeDee Lamb."
15,nfl,Inside Saquon Barkley's night at the Met Gala,"Wed, 7 May 2025 17:29:17 EST","On fashion's biggest night, ESPN goes behind the scenes with the Super Bowl champion and Philadelphia Eagles star."
16,nfl,Rams will be holding mandatory minicamp in Maui,"Wed, 7 May 2025 18:10:30 EST",The Rams will spend their offseason program on June 16-18 at War Memorial Stadium in Wailuku.
17,nfl,Why the Chiefs believe final-round RB Brashard Smith was worth trading up for,"Thu, 8 May 2025 08:14:42 EST","Smith, who posted 1,600-plus total yards and 18 TDs in one season at SMU, could boost Chiefs at RB and returner."
18,nfl,How Brian Schottenheimer is putting his stamp on the Cowboys,"Thu, 8 May 2025 08:14:42 EST",Schottenheimer's energy was felt by everyone on the field at rookie minicamp.
19,nfl,"Cheat Sheet Central: PPR, non-PPR, depth charts","Fri, 2 May 2025 16:46:48 EST","Our collection of downloadable, printable cheat sheets for the 2025 fantasy football season, including PPR, non-PPR and dynasty/keeper leagues."
20,nba,Missing stars and missed 3s: Why the Cavs and Celtics are suddenly in massive holes,"Thu, 8 May 2025 11:02:51 EST",The East playoffs have been sent into chaos. What's gone so wrong for Boston and Cleveland?
21,nba,"'Desperate' Thunder get even, rout Nuggets by 43","Thu, 8 May 2025 11:02:57 EST","Unwilling to fall into a 2-0 series hole, the Thunder put on a clinic in Game 2, scoring an NBA playoff record 87 points in the first half en route to beating the Nuggets 149-106."
22,nba,"Knicks 'finding ways to win,' go up 2-0 on Celtics","Thu, 8 May 2025 11:02:57 EST","Mikal Bridges scored all of his 14 points in the fourth quarter before making his second straight game-clinching steal, and the Knicks overcame a 20-point deficit again to beat the Celtics 91-90 on Wednesday for a 2-0 lead in the second-round series."
23,nba,"After 'inexcusable' loss, Celts search for answers","Thu, 8 May 2025 11:02:57 EST","After blowing a 20-point Game 1 lead to the Knicks and losing in overtime, the Celtics again gave up a big lead in Wednesday night's Game 2, getting walked down and passed in crunch time as New York took a 91-90 victory."
24,nba,Curry to miss at least a week as Warriors 'adapt',"Thu, 8 May 2025 11:02:57 EST",Warriors star Stephen Curry will miss at least one week of the playoffs after he was diagnosed with a Grade 1 left hamstring strain.
25,nba,Finch asks NBA to review Dubs' 'shots at' Gobert,"Thu, 8 May 2025 11:02:57 EST",Timberwolves coach Chris Finch said his team submitted clips to the league office that showed what he believes was egregious contact made against center Rudy Gobert in Minnesota's 99-88 Game 1 loss.
26,nba,Suit accuses ex-Laker Scott of '87 sexual assault,"Thu, 8 May 2025 11:02:57 EST","A woman is suing former Lakers player and coach Byron Scott, accusing him of sexually assaulting her in 1987, when he was 26 and she was 15."
27,nba,"Sources: Mavs fire top health, performance staff","Thu, 8 May 2025 11:02:57 EST","The Mavericks have dismissed head athletic trainer Dionne Calhoun and athletic performance director Keith Belton, among others, sources tell ESPN."
28,nba,Sources: Woodson to join Christie in Sacramento,"Thu, 8 May 2025 11:02:57 EST","Mike Woodson, who spent the past four years coaching Indiana, has agreed to join Doug Christie's Kings staff as associate head coach, sources told ESPN's Shams Charania."
29,nba,🎵 King of TikTok: 'LeBron James' song trend,"Thu, 8 May 2025 11:02:57 EST","Professional athletes have long been name-dropped in hip-hop songs, but R&amp;B songs comprised solely of LeBron and Curry's names? That's a more recent phenomenon."
30,nba,"'He's our leader': Without Steph Curry, the Warriors look to Draymond Green","Thu, 8 May 2025 12:11:10 EST","To get past the Minnesota Timberwolves, the Warriors will need their veteran star."
31,nba,How Golden State wins without Steph: Playoff Jimmy to the rescue?,"Thu, 8 May 2025 12:11:10 EST","Steph Curry's hamstring strain is a big blow, but the Warriors' addition of Butler gives them a fighting chance."
32,nba,NBA conference semifinals: Knicks rally to take a 2-0 lead back to MSG,"Thu, 8 May 2025 11:02:39 EST",Here's what has stood out from the latest playoff games of the second round.
33,nba,"Clutch heroics, chess moves and plenty of luck: How the NBA's final 8 win it all","Thu, 8 May 2025 01:22:03 EST",Eight teams remain in the race to the 2025 title. Zach Kram maps the championship path for each contender.
34,nba,How a 6-foot-4 guard became one of the most feared defenders in the NBA,"Wed, 7 May 2025 17:04:20 EST","Jrue Holiday doesn't rack up a ton of steals or blocks, but there is no player more important to the Celtics' stingy defense -- or their hopes to beat the New York Knicks and repeat as champions."
35,nba,Full pre-lottery NBA draft order: All 59 picks over two rounds,"Thu, 8 May 2025 08:40:49 EST",Where will every team pick in the NBA draft in June? We have the full order before Monday's draft lottery.
36,nba,Betting buzz: Curry injury shifts Warriors-Timberwolves Game 2 line five points,"Wed, 7 May 2025 12:18:32 EST","As oddsmakers continue to monitor Stephen Curry's hamstring strain, the Warriors' odds to win Game 2 against the Timberwolves have moved dramatically."
37,nba,NBA playoff futures: Warriors odds dip following Curry injury news,"Wed, 7 May 2025 12:18:31 EST",An updated listing of the odds to win the NBA championship and Finals MVP following Tuesday's games.
38,nba,'Job well done': Inside Gregg Popovich's unparalleled NBA legacy,"Wed, 7 May 2025 11:47:20 EST","Friends, colleagues, players and confidantes all agree: Popovich has impacted more people across the game than perhaps anyone in history."
39,nba,"NBA offseason preview: Complete guides for Rockets, Lakers and every eliminated team","Wed, 7 May 2025 11:07:21 EST",NBA front office insider Bobby Marks breaks down the summer priorities and needs for every eliminated team.
40,mlb,Five surprising MLB performances -- and why they're happening,"Thu, 8 May 2025 11:24:52 EST","We break down a breakout bat, a prospect finally coming into his own, a power hitter who has stopped hitting home runs, and more."
41,mlb,"Power Rankings: Tigers make top-5 debut as Mariners, Royals are on the rise","Thu, 8 May 2025 11:24:52 EST","While NL powerhouses duke it out at the top of the list, a new club is leading the way in the AL."
42,mlb,Rangers recall Duran with Pillar on injured list,"Thu, 8 May 2025 11:49:50 EST",The Rangers recalled utility man Ezequiel Duran from Triple-A Round Rock on Thursday to fill the 26-man roster spot vacated by outfielder Kevin Pillar.
43,mlb,Stanton: Could rejoin Yankees when first eligible,"Thu, 8 May 2025 11:49:50 EST","Giancarlo Stanton (elbows) said he could return to the Yankees lineup by the end of the month, when he's first eligible."
44,mlb,Jays' Scherzer: Thumb 'felt good' vs. live hitters,"Thu, 8 May 2025 11:49:52 EST","Blue Jays pitcher Max Scherzer says his thumb ""felt good"" after throwing 20 pitches against batters for the first time March."
45,mlb,Astros optimistic on Alvarez as MRI shows strain,"Thu, 8 May 2025 11:49:52 EST","Astros slugger Yordan Alvarez has a strained muscle at the top of his right hand, a diagnosis that instills optimism he won't have a prolonged stay on the IL."
46,mlb,"Cease loses no-hit bid, exits with forearm cramp","Thu, 8 May 2025 11:49:52 EST","Moments after losing a no-hit bid in the seventh inning, San Diego Padres pitcher Dylan Cease left his start against the New York Yankees because of a cramp in his right forearm."
47,mlb,Fan hurt at PNC calls injuries 'broken everything',"Thu, 8 May 2025 11:49:50 EST","Kavan Markwood, the 20-year-old man who was rushed to the hospital in critical condition after a fall at Pittsburgh's PNC Park last week, told TribLive he remains in pain and described his injuries as ""broken everything."""
48,mlb,Short-handed Dodgers staff loses Phillips to IL,"Thu, 8 May 2025 11:49:50 EST",Injuries to Los Angeles Dodgers pitchers continued to pile up Wednesday as right-hander Evan Phillips went on the 15-day injured list because of right forearm discomfort.
49,mlb,Rockies' Bryant set to undergo back procedure,"Thu, 8 May 2025 11:49:52 EST","The Rockies say Kris Bryant is scheduled to undergo a procedure on his balky back Thursday in Los Angeles and ""should be back in a day or two resuming activities."""
50,mlb,💰Passan predicts next wave of mega-contracts,"Thu, 8 May 2025 11:49:52 EST","These players are due to get paid, from who will join the nine-figure club to who could break Juan Soto's record."
51,mlb,Ranking the Red Sox's options at first base: Devers back in the infield? A prospect moving positions?,"Thu, 8 May 2025 08:13:25 EST",Boston has plenty of in-house options to fill a sudden need. Here's what those in the game think is the best choice.
52,mlb,Are the Orioles blowing their contention window?,"Thu, 8 May 2025 08:13:25 EST",The path from the top of the prospect rankings to the World Series isn't always a straight line.
53,mlb,How the kick change -- MLB's hottest new pitch -- has kick-started the Mets' rotation,"Wed, 7 May 2025 22:45:56 EST","It wasn't invented in New York, but three members of the Mets' surprising starting staff are using it -- and winning."
54,mlb,Raleigh in fantasy's top 25? Webb destined for Cy Young? Don't be surprised,"Thu, 8 May 2025 11:06:38 EST",Eric Karabell looks into the crystal ball to tell fantasy baseball managers what might come to pass in the not-too-distant future.
55,mlb,Five players you need to trade for right now,"Thu, 8 May 2025 11:06:38 EST",Tristan H. Cockcroft takes a look at some players who have started slowly that might turn things around .
,section,title,description,creator,date
0,nfl,The biggest remaining roster hole for every NFL team: Where all 32 could still upgrade,"NFL teams have added to their rosters through free agency, trades and the draft, but they all have at least one position that still needs a boost.",Aaron Schatz,"Thu, 8 May 2025 10:04:26 EST"
1,nfl,Power Rankings: Re-shuffling all 32 teams after the draft,Which franchises improved with their draft picks and offseason moves?,NFL Nation,"Thu, 8 May 2025 10:04:26 EST"
2,nfl,Cowboys reach trade for Steelers WR Pickens,"The Cowboys and Steelers have agreed to a trade that will send George Pickens to Dallas, where he will team up with CeeDee Lamb at wide receiver.",Todd Archer,"Thu, 8 May 2025 10:24:47 EST"
3,nfl,"Goedert to remain with Eagles in '25, source says","The Eagles and tight end Dallas Goedert have agreed to a reworked contract that will keep him in Philadelphia in 2025, a league source confirmed to ESPN.",Tim McManus,"Thu, 8 May 2025 10:24:47 EST"
4,nfl,Brady to Sanders: Use draft slide 'as motivation',"Tom Brady, appearing on the ""IMPAULSIVE"" podcast, said he texted Shedeur Sanders and told him that he needs to use his draft slide as motivation.",ESPN,"Thu, 8 May 2025 10:24:47 EST"
5,nfl,Taylor backs Fields: 'I'm here to support' Jets QB,Tyrod Taylor threw his full support behind Justin Fields as the Jets' starting QB.,Rich Cimini,"Thu, 8 May 2025 10:24:47 EST"
6,nfl,Jags release Davis after disappointing '24 season,"The Jaguars released Gabe Davis nearly 14 months after signing the WR to a three-year, $39 million deal.",Michael DiRocco,"Thu, 8 May 2025 10:24:47 EST"
7,nfl,Source: Fins' Hill has screws taken out of wrist,"Dolphins wide receiver Tyreek Hill underwent an operation on his wrist, according to a post to his Snapchat account.",Marcel Louis-Jacques,"Thu, 8 May 2025 10:24:47 EST"
8,nfl,Source: Texans re-signing veteran DT Fatukasi,"The Texans have agreed to re-sign veteran defensive tackle Folorunso Fatukasi, a source confirmed to ESPN.",DJ Bien-Aime,"Thu, 8 May 2025 10:24:47 EST"
9,nfl,Thibodeaux excited for Carter's impact on Giants,Giants linebacker Kayvon Thibodeaux said he is excited about the possibilities that No. 3 pick Abdul Carter's addition will open up for the team's defense.,Jordan Raanan,"Thu, 8 May 2025 10:24:47 EST"
10,nfl,🏈 Our grades for the George Pickens trade,Pickens is headed to Dallas for draft picks. Did the Cowboys solve their WR2 problem -- and did the Steelers create one? Let's size up the move.,Seth Walder,"Thu, 8 May 2025 10:24:47 EST"
11,nfl,What should we expect from Shedeur Sanders in Cleveland?,"Fifth-round draft picks don't typically carry the weight of expectations. Ahead of his first NFL practice, what's realistic for Sanders in a Browns uniform?",Daniel Oyefusi,"Thu, 8 May 2025 12:08:53 EST"
12,nfl,NFL experts debate the draft: Which midround picks could be fantasy sleepers?,"We asked more than a dozen experts to weigh in on the draft with their top picks, Rookie of the Year predictions and fantasy sleepers.",NFL experts,"Thu, 8 May 2025 09:07:20 EST"
13,nfl,"Draft nuggets for every team's rookie class: Exec reaction, draft room maneuvers, remaining needs","With the draft dust having settled, we canvassed the league on the biggest decisions and most surprising picks.",Jeremy Fowler,"Thu, 8 May 2025 09:07:21 EST"
14,nfl,"What Pickens trade means for Cowboys, Steelers -- and Aaron Rodgers","The Steelers moved on from Pickens, while the Cowboys got a WR2 to pair with CeeDee Lamb.",Todd Archer and Brooke Pryor,"Wed, 7 May 2025 22:12:01 EST"
15,nfl,Inside Saquon Barkley's night at the Met Gala,"On fashion's biggest night, ESPN goes behind the scenes with the Super Bowl champion and Philadelphia Eagles star.",Jayson Buford,"Wed, 7 May 2025 17:29:17 EST"
16,nfl,Rams will be holding mandatory minicamp in Maui,The Rams will spend their offseason program on June 16-18 at War Memorial Stadium in Wailuku.,Sarah Barshop,"Wed, 7 May 2025 18:10:30 EST"
17,nfl,Why the Chiefs believe final-round RB Brashard Smith was worth trading up for,"Smith, who posted 1,600-plus total yards and 18 TDs in one season at SMU, could boost Chiefs at RB and returner.",Adam Teicher,"Thu, 8 May 2025 08:14:42 EST"
18,nfl,How Brian Schottenheimer is putting his stamp on the Cowboys,Schottenheimer's energy was felt by everyone on the field at rookie minicamp.,Todd Archer,"Thu, 8 May 2025 08:14:42 EST"
19,nfl,"Cheat Sheet Central: PPR, non-PPR, depth charts","Our collection of downloadable, printable cheat sheets for the 2025 fantasy football season, including PPR, non-PPR and dynasty/keeper leagues.",ESPN Fantasy,"Fri, 2 May 2025 16:46:48 EST"
20,nba,Missing stars and missed 3s: Why the Cavs and Celtics are suddenly in massive holes,The East playoffs have been sent into chaos. What's gone so wrong for Boston and Cleveland?,Kevin Pelton,"Thu, 8 May 2025 11:02:51 EST"
21,nba,"'Desperate' Thunder get even, rout Nuggets by 43","Unwilling to fall into a 2-0 series hole, the Thunder put on a clinic in Game 2, scoring an NBA playoff record 87 points in the first half en route to beating the Nuggets 149-106.",Tim MacMahon,"Thu, 8 May 2025 11:02:57 EST"
22,nba,"Knicks 'finding ways to win,' go up 2-0 on Celtics","Mikal Bridges scored all of his 14 points in the fourth quarter before making his second straight game-clinching steal, and the Knicks overcame a 20-point deficit again to beat the Celtics 91-90 on Wednesday for a 2-0 lead in the second-round series.",Chris Herring,"Thu, 8 May 2025 11:02:57 EST"
23,nba,"After 'inexcusable' loss, Celts search for answers","After blowing a 20-point Game 1 lead to the Knicks and losing in overtime, the Celtics again gave up a big lead in Wednesday night's Game 2, getting walked down and passed in crunch time as New York took a 91-90 victory.",Brian Windhorst,"Thu, 8 May 2025 11:02:57 EST"
24,nba,Curry to miss at least a week as Warriors 'adapt',Warriors star Stephen Curry will miss at least one week of the playoffs after he was diagnosed with a Grade 1 left hamstring strain.,Ohm Youngmisuk,"Thu, 8 May 2025 11:02:57 EST"
25,nba,Finch asks NBA to review Dubs' 'shots at' Gobert,Timberwolves coach Chris Finch said his team submitted clips to the league office that showed what he believes was egregious contact made against center Rudy Gobert in Minnesota's 99-88 Game 1 loss.,Dave McMenamin,"Thu, 8 May 2025 11:02:57 EST"
26,nba,Suit accuses ex-Laker Scott of '87 sexual assault,"A woman is suing former Lakers player and coach Byron Scott, accusing him of sexually assaulting her in 1987, when he was 26 and she was 15.",Unknown,"Thu, 8 May 2025 11:02:57 EST"
27,nba,"Sources: Mavs fire top health, performance staff","The Mavericks have dismissed head athletic trainer Dionne Calhoun and athletic performance director Keith Belton, among others, sources tell ESPN.",Tim MacMahon,"Thu, 8 May 2025 11:02:57 EST"
28,nba,Sources: Woodson to join Christie in Sacramento,"Mike Woodson, who spent the past four years coaching Indiana, has agreed to join Doug Christie's Kings staff as associate head coach, sources told ESPN's Shams Charania.",Unknown,"Thu, 8 May 2025 11:02:57 EST"
